Time,Ch. 1,Ch. 2,Ch. 3,Ch. 4,Ch. 5,Ch. 6,Ch. 7,Ch. 8
2021-03-05 14:29:02.988008,nan,24.45,24.45,nan,nan,nan,nan,nan
2021-03-05 14:29:07.690008,nan,23.64,24.05,nan,nan,nan,nan,nan
2021-03-05 14:29:12.388008,nan,23.64,24.85,nan,nan,nan,nan,nan
2021-03-05 14:29:17.090027,nan,23.64,24.85,nan,nan,nan,nan,nan
2021-03-05 14:29:21.788008,nan,24.85,24.45,nan,nan,nan,nan,nan
2021-03-05 14:29:26.486007,nan,24.85,24.85,nan,nan,nan,nan,nan
2021-03-05 14:29:31.187019,nan,24.85,24.05,nan,nan,nan,nan,nan
2021-03-05 14:29:35.885005,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:29:40.583007,nan,24.85,23.64,nan,nan,nan,nan,nan
2021-03-05 14:29:45.285006,nan,23.64,24.85,nan,nan,nan,nan,nan
2021-03-05 14:29:49.983009,nan,22.84,24.45,nan,nan,nan,nan,nan
2021-03-05 14:29:54.684005,nan,23.64,24.05,nan,nan,nan,nan,nan
2021-03-05 14:29:59.383007,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:04.081010,nan,23.64,23.64,nan,nan,nan,nan,nan
2021-03-05 14:30:08.783009,nan,23.64,24.45,nan,nan,nan,nan,nan
2021-03-05 14:30:13.480006,nan,23.64,23.64,nan,nan,nan,nan,nan
2021-03-05 14:30:18.178006,nan,24.05,24.45,nan,nan,nan,nan,nan
2021-03-05 14:30:22.879007,nan,22.84,24.45,nan,nan,nan,nan,nan
2021-03-05 14:30:27.578006,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:32.276008,nan,23.64,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:36.979009,nan,23.24,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:41.676005,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:46.373009,nan,24.45,23.64,nan,nan,nan,nan,nan
2021-03-05 14:30:51.075008,nan,22.84,24.05,nan,nan,nan,nan,nan
2021-03-05 14:30:55.773007,nan,23.64,24.45,nan,nan,nan,nan,nan
2021-03-05 14:31:00.471008,nan,23.24,23.64,nan,nan,nan,nan,nan
2021-03-05 14:31:05.173008,nan,23.24,24.45,nan,nan,nan,nan,nan
2021-03-05 14:31:09.871007,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:31:14.569007,nan,23.24,23.64,nan,nan,nan,nan,nan
2021-03-05 14:31:19.270009,nan,22.84,24.45,nan,nan,nan,nan,nan
2021-03-05 14:31:23.968006,nan,23.24,23.24,nan,nan,nan,nan,nan
2021-03-05 14:31:28.666006,nan,23.64,23.64,nan,nan,nan,nan,nan
2021-03-05 14:31:33.368007,nan,23.24,23.24,nan,nan,nan,nan,nan
2021-03-05 14:31:38.066010,nan,24.05,23.64,nan,nan,nan,nan,nan
2021-03-05 14:31:42.768009,nan,22.84,24.05,nan,nan,nan,nan,nan
2021-03-05 14:31:47.466006,nan,24.05,24.05,nan,nan,nan,nan,nan
2021-03-05 14:31:52.164008,nan,22.84,24.05,nan,nan,nan,nan,nan
2021-03-05 14:31:56.865006,nan,23.64,24.45,nan,nan,nan,nan,nan
2021-03-05 14:32:01.563010,nan,23.64,24.05,nan,nan,nan,nan,nan
2021-03-05 14:32:06.261009,nan,23.24,24.45,nan,nan,nan,nan,nan
2021-03-05 14:32:10.963006,nan,22.84,24.05,nan,nan,nan,nan,nan
